query,model_name,performance,embedding_id
Is this a breaking change?,fast,0.8645,0
Is this a breaking change?,balanced,0.8112,0
Is this a breaking change?,powerful,0.5612,0
Is the build passing?,fast,0.9457,1
Is the build passing?,balanced,0.8015,1
Is the build passing?,powerful,0.723,1
List active tasks,fast,0.9268,2
List active tasks,balanced,0.7048,2
List active tasks,powerful,0.5234,2
Are there uncommitted changes?,fast,0.9157,3
Are there uncommitted changes?,balanced,0.704,3
Are there uncommitted changes?,powerful,0.5497,3
Are the tests passing?,fast,0.9412,4
Are the tests passing?,balanced,0.7629,4
Are the tests passing?,powerful,0.6123,4
What files changed?,fast,0.9552,5
What files changed?,balanced,0.701,5
What files changed?,powerful,0.7015,5
Convert 1024 seconds to minutes,fast,0.8702,6
Convert 1024 seconds to minutes,balanced,0.8436,6
Convert 1024 seconds to minutes,powerful,0.5841,6
List active tasks,fast,0.8994,2
List active tasks,balanced,0.7538,2
List active tasks,powerful,0.586,2
Show git diff,fast,0.9549,7
Show git diff,balanced,0.8095,7
Show git diff,powerful,0.6341,7
Okay,fast,0.8992,8
Okay,balanced,0.7828,8
Okay,powerful,0.7074,8
Should I commit these changes?,fast,0.9651,9
Should I commit these changes?,balanced,0.7542,9
Should I commit these changes?,powerful,0.5481,9
What agents are available?,fast,0.856,10
What agents are available?,balanced,0.7342,10
What agents are available?,powerful,0.5723,10
List active tasks,fast,0.9612,2
List active tasks,balanced,0.83,2
List active tasks,powerful,0.595,2
What is generator?,fast,0.9584,11
What is generator?,balanced,0.7244,11
What is generator?,powerful,0.5888,11
Is the database connected?,fast,0.8847,12
Is the database connected?,balanced,0.8405,12
Is the database connected?,powerful,0.662,12
Does cache layer support streaming?,fast,0.9194,13
Does cache layer support streaming?,balanced,0.7367,13
Does cache layer support streaming?,powerful,0.6156,13
What files changed?,fast,0.9786,5
What files changed?,balanced,0.796,5
What files changed?,powerful,0.6392,5
Is Redis available?,fast,0.8922,14
Is Redis available?,balanced,0.8152,14
Is Redis available?,powerful,0.514,14
Show me the help menu,fast,0.8542,15
Show me the help menu,balanced,0.7473,15
Show me the help menu,powerful,0.5669,15
Show the last commit message,fast,0.9687,16
Show the last commit message,balanced,0.7851,16
Show the last commit message,powerful,0.6795,16
Show the last commit message,fast,0.9352,16
Show the last commit message,balanced,0.7593,16
Show the last commit message,powerful,0.7286,16
What is middleware?,fast,0.8844,17
What is middleware?,balanced,0.737,17
What is middleware?,powerful,0.6403,17
Show git diff,fast,0.9471,7
Show git diff,balanced,0.7643,7
Show git diff,powerful,0.6459,7
Show me index.ts,fast,0.9797,18
Show me index.ts,balanced,0.7207,18
Show me index.ts,powerful,0.6234,18
/help,fast,0.8561,19
/help,balanced,0.7164,19
/help,powerful,0.6569,19
/tools,fast,0.9385,20
/tools,balanced,0.7895,20
/tools,powerful,0.5962,20
Does websocket handler support timeout?,fast,0.8827,21
Does websocket handler support timeout?,balanced,0.783,21
Does websocket handler support timeout?,powerful,0.7356,21
Is Redis available?,fast,0.9437,14
Is Redis available?,balanced,0.8023,14
Is Redis available?,powerful,0.6342,14
What files changed?,fast,0.9499,5
What files changed?,balanced,0.751,5
What files changed?,powerful,0.5734,5
Show git status,fast,0.909,22
Show git status,balanced,0.8431,22
Show git status,powerful,0.719,22
Show git diff,fast,0.9763,7
Show git diff,balanced,0.8143,7
Show git diff,powerful,0.6269,7
Show system status,fast,0.9632,23
Show system status,balanced,0.7448,23
Show system status,powerful,0.6597,23
Does router support streaming?,fast,0.8986,24
Does router support streaming?,balanced,0.7242,24
Does router support streaming?,powerful,0.7384,24
Okay,fast,0.9189,8
Okay,balanced,0.7001,8
Okay,powerful,0.581,8
Is supervisor running?,fast,0.9708,25
Is supervisor running?,balanced,0.8318,25
Is supervisor running?,powerful,0.7079,25
Show stash list,fast,0.8811,26
Show stash list,balanced,0.7361,26
Show stash list,powerful,0.6418,26
List active tasks,fast,0.8611,2
List active tasks,balanced,0.7729,2
List active tasks,powerful,0.5173,2
/help,fast,0.9193,19
/help,balanced,0.7189,19
/help,powerful,0.6649,19
"Perfect, thanks",fast,0.9215,27
"Perfect, thanks",balanced,0.7398,27
"Perfect, thanks",powerful,0.7181,27
Is main.py writable?,fast,0.9708,28
Is main.py writable?,balanced,0.8133,28
Is main.py writable?,powerful,0.6725,28
What's 42 + 8?,fast,0.9794,29
What's 42 + 8?,balanced,0.7975,29
What's 42 + 8?,powerful,0.6095,29
Where is {config} stored?,fast,0.9087,30
Where is {config} stored?,balanced,0.7372,30
Where is {config} stored?,powerful,0.516,30
Is postgres running?,fast,0.9265,31
Is postgres running?,balanced,0.7011,31
Is postgres running?,powerful,0.677,31
Check if router is healthy,fast,0.8588,32
Check if router is healthy,balanced,0.7047,32
Check if router is healthy,powerful,0.5826,32
What's the default value of max_retries?,fast,0.8862,33
What's the default value of max_retries?,balanced,0.7728,33
What's the default value of max_retries?,powerful,0.6348,33
Calculate 50% of 500,fast,0.9114,34
Calculate 50% of 500,balanced,0.8177,34
Calculate 50% of 500,powerful,0.7019,34
List recent commits,fast,0.8623,35
List recent commits,balanced,0.7988,35
List recent commits,powerful,0.5886,35
When was package.json last modified?,fast,0.9623,36
When was package.json last modified?,balanced,0.7081,36
When was package.json last modified?,powerful,0.6634,36
Are the tests passing?,fast,0.8628,4
Are the tests passing?,balanced,0.7604,4
Are the tests passing?,powerful,0.5848,4
"Yes, proceed",fast,0.8642,37
"Yes, proceed",balanced,0.7287,37
"Yes, proceed",powerful,0.6341,37
Is the build passing?,fast,0.9048,1
Is the build passing?,balanced,0.7418,1
Is the build passing?,powerful,0.5625,1
Okay,fast,0.8598,8
Okay,balanced,0.8212,8
Okay,powerful,0.714,8
Show system status,fast,0.8566,23
Show system status,balanced,0.8499,23
Show system status,powerful,0.709,23
List active tasks,fast,0.9704,2
List active tasks,balanced,0.8273,2
List active tasks,powerful,0.5416,2
What's the port for the database?,fast,0.8778,38
What's the port for the database?,balanced,0.7602,38
What's the port for the database?,powerful,0.5147,38
Read agents.yaml,fast,0.9781,39
Read agents.yaml,balanced,0.7398,39
Read agents.yaml,powerful,0.696,39
What is ORM?,fast,0.905,40
What is ORM?,balanced,0.8436,40
What is ORM?,powerful,0.7489,40
What version of sqlalchemy is installed?,fast,0.8701,41
What version of sqlalchemy is installed?,balanced,0.7445,41
What version of sqlalchemy is installed?,powerful,0.7422,41
Is {option} enabled?,fast,0.9456,42
Is {option} enabled?,balanced,0.7091,42
Is {option} enabled?,powerful,0.5784,42
Check if auth service is healthy,fast,0.912,43
Check if auth service is healthy,balanced,0.8379,43
Check if auth service is healthy,powerful,0.6328,43
Check if auth service is healthy,fast,0.8604,43
Check if auth service is healthy,balanced,0.7279,43
Check if auth service is healthy,powerful,0.6488,43
Is Redis available?,fast,0.962,14
Is Redis available?,balanced,0.7606,14
Is Redis available?,powerful,0.7354,14
Can I use caching in Python 3.12?,fast,0.9305,44
Can I use caching in Python 3.12?,balanced,0.7629,44
Can I use caching in Python 3.12?,powerful,0.6459,44
